Age,Prof_Exp,Data_Skills,PostSec_Educ,Salary_Range
50,4,9,6,2
39,11,10,8,0
42,0,2,8,2
24,2,4,8,2
62,18,8,6,2
30,10,9,6,1
46,14,8,8,1
47,1,9,10,1
55,24,1,7,0
48,4,8,10,0
56,18,4,5,0
64,11,1,5,2
26,6,6,5,0
58,21,4,8,0
49,14,7,8,0
47,15,2,6,1
26,5,8,7,2
30,3,1,8,0
54,2,10,6,1
43,13,7,5,1
45,8,5,7,2
47,11,2,9,2
29,4,7,9,1
50,22,5,7,1
30,10,10,9,1
54,18,1,7,1
48,12,9,10,1
32,4,3,9,2
38,16,1,9,0
58,23,4,6,2
51,16,7,5,2
62,6,2,7,1
25,5,1,9,1
59,38,5,10,2
53,6,7,5,2
48,8,9,10,1
45,14,2,9,2
22,3,6,5,2
53,17,7,8,1
60,1,9,8,2
57,23,3,6,2
58,39,9,8,1
27,8,6,6,2
50,16,1,5,1
25,6,1,7,0
26,4,3,6,1
51,6,8,9,1
42,8,4,9,0
30,7,1,6,0
46,4,6,9,1
47,8,7,5,1
27,7,2,9,2
65,23,3,9,2
27,14,9,5,0
57,21,7,8,0
54,15,4,9,0
33,6,7,10,0
31,5,4,10,2
59,33,3,8,0
34,6,2,6,1
29,3,6,8,2
37,5,9,5,2
34,9,7,5,2
54,4,5,7,1
35,5,8,7,0
35,7,8,10,1
44,0,4,7,1
63,19,1,5,2
56,21,5,9,0
45,15,4,6,2
32,8,9,5,1
34,4,2,6,1
29,7,5,9,1
56,3,7,8,2
51,11,3,9,2
53,14,4,9,0
53,13,10,8,0
64,11,3,10,1
51,25,6,5,2
24,6,6,5,2
28,4,4,10,0
39,5,10,10,2
22,3,7,7,2
34,12,7,6,0
63,2,2,9,1
57,19,10,7,0
29,9,3,7,1
22,1,6,8,0
46,23,7,9,2
22,2,7,8,0
36,13,6,6,0
53,19,4,6,1
25,3,10,6,0
26,4,5,5,2
52,23,9,7,2
41,4,3,9,2
41,5,3,5,0
45,19,4,10,0
54,3,1,8,2
24,4,7,9,1
56,22,5,5,0
41,5,10,5,0
